Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1995-11-27,2.498028930604797,2.520432710647583,2.473758076157523,2.520432710647583,36500,0.0,0.0,DPM.TO
1995-11-28,2.5447040455104726,2.591378688812256,2.5447040455104726,2.591378688812256,84000,0.0,0.0,DPM.TO
1995-11-29,2.5671078297828775,2.591378688812256,2.5671078297828775,2.591378688812256,58500,0.0,0.0,DPM.TO
1995-11-30,2.5671078297828775,2.591378688812256,2.5447040455104726,2.591378688812256,79500,0.0,0.0,DPM.TO
1995-12-01,2.544703894516674,2.5913785350489476,2.544703894516674,2.567107677459717,49500,0.0,0.0,DPM.TO
1995-12-04,2.5671078297828775,2.591378688812256,2.5671078297828775,2.591378688812256,22000,0.0,0.0,DPM.TO
1995-12-05,2.5671078297828775,2.591378688812256,2.5671078297828775,2.591378688812256,56500,0.0,0.0,DPM.TO
1995-12-06,2.5913779325638346,2.684727191925049,2.5913779325638346,2.684727191925049,99500,0.0,0.0,DPM.TO
1995-12-07,2.6604569988385935,2.707131862640381,2.6604569988385935,2.707131862640381,33000,0.0,0.0,DPM.TO
1995-12-08,2.7071311922214925,2.7071311922214925,2.684727191925049,2.684727191925049,18000,0.0,0.0,DPM.TO
1995-12-11,2.707131862640381,2.753806503879923,2.6847278567956048,2.707131862640381,85000,0.0,0.0,DPM.TO
1995-12-12,2.7071320004242057,2.7314028596165207,2.660457134246826,2.660457134246826,45500,0.0,0.0,DPM.TO
